UID	row_clusters-flat	disp	mean_d50.0	std_d50.0	min_d50.0	max_d50.0	mean_d60.0	std_d60.0	min_d60.0	max_d60.0	convex hull area	norm convex hull area	corrected straightness index	diffusion coefficient	direction	effective space length	effective speed	entropy1	entropy2	entropy3	entropy4	entropy5	entropy6	entropy7	entropy8	entropy9	entropy10	largest move	mean instantaneous acceleration	mean instantaneous speed	stdev instantaneous speed	mean squared displacement	movement type	persistence1	stdev persistence1	persistence2	persistence3	persistence4	persistence5	RSS window 6	RSS window 8	RSS window 10	signed turning angle1	signed turning angle2	signed turning angle3	signed turning angle4	signed turning angle5	sinuosity	time length	total space length	turning angle1	turning angle2	turning angle3	turning angle4	turning angle5	app
persistence2	12	-0.0046101232051	0.00319929787165	0.000142270340692	0.00445877687725	0.0020147514552	0.00336155542057	-0.00125873352885	0.00577962388136	-8.44379243845e-05	-4.77509407631e-05	-0.000200840415157	0.00929401955517	-0.00050764275964	-0.0241768340322	0.00113352425224	0.0114362283816	0.0010864954815	-0.00169476596276	-0.00119931061049	0.000137566035671	-0.000271610447796	0.000227525194793	8.31095284995e-05	0.000528088081027	6.76189304684e-05	-0.00105049846804	0.00165180246353	0.0103218963627	0.00137182754296	0.00463445884659	-0.000432710150568	nan	0.00433071345808	-0.0029541304557	0.0060334484692	0.00222406575357	0.0034400662622	-0.00156996334481	0.000329766377643	0.00119584660102	0.00488767569236	0.246264818605	0.411389706771	1.0	0.521142510717	0.517783790153	-0.00965817200316	-0.0104153509257	-0.00841954871441	-0.00402186174217	-0.00679177185859	-0.00552393165265	-0.00911749599106	-0.00649640857945	0.00304108053209
stdev persistence1	13	0.000276166079016	0.00241035936048	-0.00380939629935	0.00719291591891	0.000465108837435	0.000243651077711	-0.00170014883875	0.00229182281955	-0.000893080276445	0.000171520663605	0.000720318798817	0.00540324702339	-0.0010377790612	-0.022590244244	0.00080299973333	0.00601470086475	3.28733071018e-05	-0.00271114653768	-0.00168240288574	-0.00156325217836	-0.00142443901853	-7.23325332005e-05	-0.000563195056429	0.000628595230753	0.000424168028011	-0.000265142190268	0.00193993624301	0.0071775027843	-0.000389864414882	0.00209459067748	-0.000750076732551	nan	0.00234489677326	-0.00495720285852	-0.00130822854213	0.00804716814159	0.00140035331981	-0.000947404867297	0.00364150141355	0.00205517712843	0.00205390091803	0.245465081269	1.0	0.411389706771	0.40317596899	0.378659821314	-0.00388102604705	-0.00466919789528	-0.00454830580017	-0.00171025191719	0.000680508627376	-0.00897481261328	-0.00492311407868	-0.0035435483313	0.00690212453441
persistence1	14	0.00387589771388	-0.00334238886785	-0.00577291720251	-0.00105988054592	-0.00476809149316	-0.0040842845249	-0.00575111484939	-0.00113740918428	-0.00663192005705	-0.00136875466826	-0.00115397453535	0.00590593744112	-0.00632979661187	-0.0225073807682	0.000811034546972	0.00622145126553	-0.00210192848793	-0.00281141629126	-0.00401355547752	-0.00328220670051	-0.00279456117422	-0.0021752198458	-0.0017208658893	-0.000289654834472	-0.000464632685692	0.000304131732782	-0.00463883444072	0.00572945118071	-0.00231678557074	-0.00155866401414	-0.00648721323167	nan	0.000858465163762	0.00429621235278	0.00830080480731	0.00401268666477	0.00160973433953	0.00116066426869	0.000966216343307	0.00417530650735	0.00515966531073	1.0	0.245465081269	0.246264818605	0.223618561123	0.216602558716	-0.00986205666122	-0.0110186945478	-0.0075078081295	-0.00497920125371	-0.013378097324	-0.0109836992043	-0.0113201505537	-0.00979311906811	-0.0153412850457
movement type	15	0.0408486174736	0.0210403976587	-0.138592230966	0.104794383387	-0.0923891429221	-0.003266693813	-0.144216197473	0.0807366677395	-0.0894907250318	-0.0099999513274	-0.0100246225695	-0.138993149812	0.0416187814143	-0.00195567029016	-0.195952248344	0.108010168399	-0.0925394013324	-0.114228542316	-0.133523398718	-0.14795947231	-0.156693640064	-0.161316770023	-0.16559135136	-0.163201366865	-0.156680952685	-0.145461878531	-0.0829170198378	0.268426042286	0.0694604350226	0.00363423619105	0.056903665881	nan	-0.0445367142841	-0.109451878128	-0.063959967462	-0.0571475670487	-0.0506332744279	-0.0430900647426	0.777020311426	0.920447927799	1.0	0.00515966531073	0.00205390091803	0.00488767569236	0.000615502882169	-0.000259119343558	-0.304554607849	-0.374265483144	-0.28385866231	0.0281499239311	-0.0413891775884	-0.135766195478	-0.223561194451	-0.297098744171	-0.130461326478
mean squared displacement	16	0.0424879711542	0.0200246307836	-0.14480937291	0.106118136357	-0.0954719282344	-0.00357518516291	-0.151964227284	0.0834890529019	-0.0927078252808	-0.0110719536434	-0.0117268935401	-0.161865428171	0.0108600991865	-0.00277747325937	-0.220774383068	0.0625823936327	-0.128913786633	-0.151737234383	-0.172132106607	-0.186932124226	-0.195178226772	-0.19989396376	-0.202656517888	-0.199053336275	-0.191250427609	-0.178520859862	-0.111326763911	0.236363001935	0.0374270626158	-0.0336952962455	0.0264848280748	nan	-0.0964537112295	-0.103741132219	-0.0998418350099	-0.0739133946609	-0.0572335443451	-0.0392446488036	0.85900941195	1.0	0.920447927799	0.00417530650735	0.00205517712843	0.00119584660102	-0.00398049692737	-0.00437348207394	-0.278875587992	-0.367615450574	-0.294844803193	0.0796534785702	-0.00336724053615	-0.111958699619	-0.204972551035	-0.282453480593	-0.135685643155
stdev instantaneous speed	17	0.0442545664463	0.0182778221295	-0.157779472388	0.109902684771	-0.103592018136	-0.00414793999001	-0.165189942948	0.0889037701123	-0.0979259573498	-0.0120361207083	-0.0133325825406	-0.174820338686	-0.0233844600515	-0.00198749698097	-0.243129176561	0.0268269422015	-0.169901889857	-0.194263967515	-0.215124222889	-0.228844366076	-0.235974543471	-0.241375641381	-0.24167113218	-0.235490084922	-0.226570822737	-0.211315770859	-0.143394263775	0.21834056896	0.00257412096382	-0.0725845371693	-0.00667101403434	nan	-0.149030777149	-0.117794837316	-0.121209635847	-0.0762888151481	-0.0511975036396	-0.0378476641193	1.0	0.85900941195	0.777020311426	0.000966216343307	0.00364150141355	0.000329766377643	-0.00274535016699	-0.00718841628307	-0.262258735411	-0.374057344739	-0.316642057596	0.133122063148	0.0211680786716	-0.104088421671	-0.202245305486	-0.274595386559	-0.144247765134
mean instantaneous speed	18	-0.00580313441238	-0.046954064489	0.0247848074245	-0.0463887422612	-0.0193349023314	-0.0405173154691	0.0326354747557	-0.0533388395004	-0.0195718553746	0.00293140249614	0.00403283420187	0.361860480315	-0.0139955310002	-0.00148332598588	0.251230682658	0.278788044182	0.0902398856859	0.108933380043	0.127553286558	0.140304133885	0.151826367574	0.161486950573	0.174673280294	0.183007398664	0.18647372121	0.186338557316	0.0038596195998	-0.00473148282882	0.0152200171131	0.00317058990182	0.0114396743352	nan	0.183273834233	-0.124665702429	0.240675105478	0.30213434013	0.294492727216	1.0	-0.0378476641193	-0.0392446488036	-0.0430900647426	0.00116066426869	-0.000947404867297	-0.00156996334481	0.00292477954971	-0.00100053121714	-0.00313800536661	0.000640162639375	0.00552697967873	-0.175813871478	-0.217798584911	-0.255372777436	-0.222814081298	-0.676278780145	0.0157827574661
mean instantaneous acceleration	19	-0.0146715252376	-0.0470696137083	0.025438212814	-0.0438555654951	-0.0199509472291	-0.0427332728182	0.0402386885289	-0.0546250801485	-0.0182454492332	0.00352895600325	0.00568613887129	0.383744470531	-0.00171741332228	0.000133674422173	0.268179445766	0.308064788063	0.114380335256	0.13611350411	0.154691831238	0.169738223581	0.183345452917	0.193329683277	0.206974780482	0.214309288723	0.216824276844	0.216128243898	0.0102191359409	0.0121331768479	0.0287451826453	0.0122669002955	0.0261329335307	nan	0.243492065573	-0.158075478648	0.333785712474	0.315192446468	1.0	0.294492727216	-0.0511975036396	-0.0572335443451	-0.0506332744279	0.00160973433953	0.00140035331981	0.0034400662622	0.00322470834923	0.00542990546359	-0.012467548855	-0.00828397970966	0.00224147774804	-0.233587924483	-0.304362576903	-0.268133460273	-0.777550175863	-0.202658664711	0.0229879268258
largest move	20	-0.0259516269344	-0.0550654051733	0.0226341267619	-0.0474266905105	-0.02816871915	-0.0493986782772	0.0372457591478	-0.0614714801068	-0.0255947579951	0.00455537201962	0.00817190461647	0.393199454769	0.0124221761469	-0.00563640445568	0.283422496815	0.325062610664	0.146109289463	0.169594936051	0.190128374332	0.205229739558	0.21833043325	0.228432443529	0.241072898683	0.246728808917	0.249880793836	0.24709345364	0.0149853908569	0.0258290104481	0.043922507213	0.020634499949	0.0362788910485	nan	0.325841209944	-0.187571652182	0.338525245414	1.0	0.315192446468	0.30213434013	-0.0762888151481	-0.0739133946609	-0.0571475670487	0.00401268666477	0.00804716814159	0.00222406575357	0.00613102551878	0.00403025710492	-0.025926752924	-0.0150464145223	0.00610264947642	-0.31433757751	-0.30950923018	-0.861375909621	-0.249742986988	-0.219811220835	0.018228176368
entropy10	21	-0.0423775299372	-0.0364687889934	0.0323852667786	-0.03686068968	-0.0130562489572	-0.0376059392778	0.0523741671673	-0.0527268324263	-0.0126273737539	0.00547578662778	0.0107382762799	0.391512139573	0.0612377246217	-0.00490387248661	0.302581960622	0.354579436577	0.210893985743	0.234557735619	0.253716243479	0.26740442198	0.280097073917	0.289081636639	0.299516902161	0.301452908897	0.299918605494	0.292760367595	0.0395249117134	0.0544412649155	0.092295154832	0.0539475622292	0.0752386245654	nan	0.376242078157	-0.281170761114	1.0	0.338525245414	0.333785712474	0.240675105478	-0.121209635847	-0.0998418350099	-0.063959967462	0.00830080480731	-0.00130822854213	0.0060334484692	0.00677897523353	0.00862158824721	-0.0605404858651	-0.0327487490903	0.0201214644001	-0.358941064439	-0.916102238364	-0.295989653353	-0.275779030697	-0.191409930361	0.041698563826
